seed,fold_number,elbo,accuracy,log_prob
28,9,-43269.86359026411,0.5714285714285714,-12.70490491724376
23,9,-43505.55479215837,0.7142857142857142,-7.229171196533167
19,0,-43482.10349902389,0.7142857142857142,-8.458627456872222
29,0,-43222.61584479152,0.8571428571428571,-1.2573291863484892
24,0,-43176.38421598781,0.7142857142857142,-9.21053515519486
19,1,-43026.43902401137,0.2857142857142857,-11.110990738591877
29,1,-43244.57379217423,0.5714285714285714,-9.600336975884794
24,1,-43266.20677402848,0.4285714285714285,-8.021284300444126
19,2,-43229.96887552744,0.7142857142857142,-5.689228398403785
29,2,-43450.316641380894,0.7142857142857142,-6.246733746484189
24,2,-43321.52476913115,0.7142857142857142,-3.187169525203773
19,3,-43889.93823196797,0.8571428571428571,-3.0353456850028344
29,3,-43365.03236130113,0.8571428571428571,-2.784825800997184
24,3,-43520.92586168082,1.0,-1.5011010791540755
19,4,-43423.0316247585,1.0,-1.1855475185894346
29,4,-43823.20805814193,0.8571428571428571,-3.1169297179635285
24,4,-43404.49313410255,0.8571428571428571,-3.79540830128994
19,5,-43150.49402194377,0.8571428571428571,-5.201708301077351
29,5,-43435.01135641936,0.4285714285714285,-13.435041510878104
24,5,-43275.31839103275,0.7142857142857142,-7.20493387440768
19,6,-43329.87367190147,0.5714285714285714,-10.566026231555112
29,6,-43403.70608661254,0.4285714285714285,-10.48609372926304
24,6,-43523.75226513395,0.4285714285714285,-13.996121632370404
19,7,-43608.54312962666,0.8571428571428571,-7.067097279446204
29,7,-43549.44923391653,0.4285714285714285,-13.664198314121112
19,8,-43309.458918627,0.4285714285714285,-6.404890156514648
24,7,-43516.48829260568,0.7142857142857142,-8.63304290791532
29,8,-43511.081126374775,0.5714285714285714,-5.788577611396688
19,9,-42914.93505903386,0.5714285714285714,-9.10779080976612
24,8,-43532.19195670809,0.7142857142857142,-6.1175275628169326
29,9,-43079.34200464311,0.7142857142857142,-7.159379590146859
20,0,-43261.68654609815,0.5714285714285714,-9.155224957198945
24,9,-43218.983999180375,0.7142857142857142,-9.844338926903124
30,0,-43252.98466806603,0.7142857142857142,-5.709982166855415
20,1,-43206.41671834886,0.1428571428571428,-17.110472950076897
25,0,-43173.20609738043,0.8571428571428571,-4.338406264733686
30,1,-43132.97619976086,0.1428571428571428,-14.724612658304206
20,2,-43129.39042342693,0.7142857142857142,-6.181869424008731
25,1,-42899.21373204887,0.4285714285714285,-8.782575999316908
30,2,-43386.15328837355,0.7142857142857142,-7.253944532762781
20,3,-43774.99594018736,0.8571428571428571,-2.625840293470484
25,2,-43111.12344120292,0.5714285714285714,-8.047425280487714
30,3,-43402.520078646136,1.0,-1.0337996958377178
20,4,-43629.277467395645,0.8571428571428571,-3.998373401890869
30,4,-43776.867580080056,0.8571428571428571,-3.743559711661375
25,3,-43305.484495236655,1.0,-0.8701664621833425
20,5,-43256.76002360578,0.8571428571428571,-4.358328606464896
30,5,-43174.229190444166,0.8571428571428571,-3.668907246051775
25,4,-43271.3235074089,0.7142857142857142,-4.92257275413378
20,6,-43335.71835819178,0.2857142857142857,-15.99891185434355
30,6,-43558.67895060964,0.4285714285714285,-13.063020444678523
25,5,-43182.09136911022,0.5714285714285714,-6.467234208780734
20,7,-43346.44205059688,0.5714285714285714,-10.50420345844433
30,7,-43520.12225697725,0.5714285714285714,-11.157984987758525
25,6,-43543.66132796236,0.5714285714285714,-12.03634041444402
20,8,-43442.77567186387,0.7142857142857142,-6.716049003948509
30,8,-43318.903981518175,0.4285714285714285,-9.086559684810048
